Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,91486,-,-,-,34.85,-116.78,-8,561,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,v3.0.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,,,,,,
2012,1,2,22,0,-0.0,0.0,0.0,-13.55,-12.93,633.4812999999999,326,2.4,0.216,,,,,,
2012,1,2,23,0,-0.0,0.0,0.0,-13.83,-13.07,633.9151999999999,324,2.7,0.216,,,,,,
2012,1,2,24,0,-0.0,0.0,0.0,-14.12,-13.21,634.3491,322,2.9,0.216,,,,,,
2012,1,3,1,0,-0.0,0.0,0.0,-14.11,-13.13,634.783,323,3.0,0.216,,,,,,
2012,1,3,2,0,-0.0,0.0,0.0,-14.09,-13.05,635.2169,324,3.1,0.216,,,,,,
2012,1,3,3,0,-0.0,0.0,0.0,-14.08,-12.97,635.6508,325,3.2,0.216,,,,,,
2012,1,3,4,0,-0.0,0.0,0.0,-14.57,-13.33,636.1467,326,3.3,0.216,,,,,,
2012,1,3,5,0,-0.0,0.0,0.0,-15.07,-13.7,636.6425,327,3.3,0.216,,,,,,
2012,1,3,6,0,-0.0,0.0,0.0,-15.56,-14.07,637.1383999999999,328,3.4,0.216,,,,,,
2012,1,3,7,0,-0.0,0.0,0.0,-16.13,-14.33,637.4069999999999,328,3.0,0.216,,,,,,
2012,1,3,8,0,-0.0,0.0,0.0,-16.69,-14.59,637.6756,327,2.6,0.216,,,,,,
2012,1,3,9,0,0.0,29.0,29.0,-17.26,-14.85,637.9442,326,2.2,0.216,,,,,,
2012,1,3,10,0,0.0,88.0,88.0,-17.33,-13.99,637.3657,322,1.7,0.216,,,,,,
2012,1,3,11,0,0.0,28.0,28.0,-17.47,-13.13,636.7872,319,1.1,0.216,,,,,,
2012,1,3,12,0,0.0,33.0,33.0,-17.7,-12.27,636.2086,315,0.6,0.216,,,,,,
2012,1,3,13,0,0.0,32.0,32.0,-18.51,-12.47,636.1673000000001,295,0.8,0.216,,,,,,
2012,1,3,14,0,0.0,27.0,27.0,-19.34,-12.68,636.126,275,1.1,0.216,,,,,,
2012,1,3,15,0,0.0,18.0,18.0,-20.2,-12.88,636.0847,255,1.3,0.216,,,,,,
2012,1,3,16,0,0.0,9.0,9.0,-20.29,-13.31,636.1054,268,1.5,0.216,,,,,,
2012,1,3,17,0,-0.0,0.0,0.0,-20.39,-13.73,636.126,280,1.7,0.216,,,,,,
2012,1,3,18,0,-0.0,0.0,0.0,-20.49,-14.16,636.1467,293,1.8,0.216,,,,,,
2012,1,3,19,0,-0.0,0.0,0.0,-20.11,-14.09,635.9607,297,1.7,0.216,,,,,,
2012,1,3,20,0,-0.0,0.0,0.0,-19.74,-14.03,635.7748,301,1.6,0.216,,,,,,
2012,1,3,21,0,-0.0,0.0,0.0,-19.37,-13.97,635.5888,304,1.5,0.216,,,,,,
2012,1,3,22,0,-0.0,0.0,0.0,-19.02,-14.09,635.1549,304,1.7,0.216,,,,,,
2012,1,3,23,0,-0.0,0.0,0.0,-18.69,-14.21,634.721,303,1.8,0.216,,,,,,
2012,1,3,24,0,-0.0,0.0,0.0,-18.37,-14.32,634.2871,302,1.9,0.216,,,,,,
2012,1,4,1,0,-0.0,0.0,0.0,-17.38,-13.86,633.9359,300,2.0,0.216,,,,,,
2012,1,4,2,0,-0.0,0.0,0.0,-16.41,-13.39,633.5846,298,2.1,0.216,,,,,,
2012,1,4,3,0,-0.0,0.0,0.0,-15.45,-12.93,633.2334,296,2.1,0.216,,,,,,
2012,1,4,4,0,-0.0,0.0,0.0,-14.54,-12.63,632.8615,306,2.2,0.216,,,,,,
2012,1,4,5,0,-0.0,0.0,0.0,-13.66,-12.34,632.4896,316,2.2,0.216,,,,,,
2012,1,4,6,0,-0.0,0.0,0.0,-12.79,-12.05,632.1177,325,2.3,0.216,,,,,,
2012,1,4,7,0,-0.0,0.0,0.0,-12.81,-12.14,632.4069000000001,327,2.5,0.216,,,,,,
2012,1,4,8,0,-0.0,0.0,0.0,-12.82,-12.24,632.6962,328,2.7,0.216,,,,,,
2012,1,4,9,0,0.0,33.0,33.0,-12.84,-12.34,632.9855,330,2.8,0.216,,,,,,
2012,1,4,10,0,0.0,101.0,101.0,-13.43,-12.5,633.1507,327,3.0,0.216,,,,,,
2012,1,4,11,0,0.0,53.0,53.0,-14.04,-12.65,633.3161,324,3.2,0.216,,,,,,
2012,1,4,12,0,0.0,33.0,33.0,-14.65,-12.81,633.4812999999999,320,3.3,0.216,,,,,,
2012,1,4,13,0,0.0,32.0,32.0,-16.33,-14.11,634.0599,323,3.5,0.216,,,,,,
2012,1,4,14,0,0.0,27.0,27.0,-18.01,-15.41,634.6383999999999,326,3.7,0.216,,,,,,
2012,1,4,15,0,0.0,18.0,18.0,-19.7,-16.7,635.2169,329,3.9,0.216,,,,,,
2012,1,4,16,0,0.0,6.0,6.0,-19.76,-17.02,635.8367,328,4.0,0.216,,,,,,
2012,1,4,17,0,-0.0,0.0,0.0,-19.83,-17.33,636.4566,326,4.1,0.216,,,,,,
2012,1,4,18,0,-0.0,0.0,0.0,-19.9,-17.65,637.0764,325,4.2,0.216,,,,,,
2012,1,4,19,0,-0.0,0.0,0.0,-19.82,-17.67,637.1797,322,4.3,0.216,,,,,,
2012,1,4,20,0,-0.0,0.0,0.0,-19.73,-17.69,637.2831,319,4.4,0.216,,,,,,
2012,1,4,21,0,-0.0,0.0,0.0,-19.64,-17.71,637.3864,317,4.5,0.216,,,,,,
2012,1,4,22,0,-0.0,0.0,0.0,-19.92,-17.88,637.0764,315,4.3,0.216,,,,,,
2012,1,4,23,0,-0.0,0.0,0.0,-20.19,-18.05,636.7665000000001,314,4.2,0.216,,,,,,
2012,1,4,24,0,-0.0,0.0,0.0,-20.47,-18.21,636.4566,312,4.0,0.216,,,,,,
2012,1,5,1,0,-0.0,0.0,0.0,-20.05,-17.72,635.6095,310,4.0,0.216,,,,,,
2012,1,5,2,0,-0.0,0.0,0.0,-19.64,-17.24,634.7623,308,4.0,0.216,,,,,,
2012,1,5,3,0,-0.0,0.0,0.0,-19.22,-16.75,633.9151999999999,306,3.9,0.216,,,,,,
2012,1,5,4,0,-0.0,0.0,0.0,-18.74,-16.12,633.0681,307,3.9,0.216,,,,,,
2012,1,5,5,0,-0.0,0.0,0.0,-18.25,-15.49,632.221,308,3.8,0.216,,,,,,
2012,1,5,6,0,-0.0,0.0,0.0,-17.77,-14.86,631.3739,309,3.7,0.216,,,,,,
2012,1,5,7,0,-0.0,0.0,0.0,-17.46,-14.8,630.7747,309,3.5,0.216,,,,,,
2012,1,5,8,0,-0.0,0.0,0.0,-17.15,-14.74,630.1755,308,3.3,0.216,,,,,,
